,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10
Cell21,5.516856409813448,3.554218188048439,5.861466192272612,5.114319578617318,8.411050003798838,5.535706669528764,8.859289757138633,8.6718836537321,7.468600460949531,7.2480988820311785
Cell22,3.303776560467732,6.3714835343378535,0.11864501130267935,0.1969863466649069,1.4394350755233165,7.210242666386364,9.184210064367758,3.0142161825837412,9.29493856984198,2.9134642930340515
Cell23,1.168525631651759,8.551811613724805,2.6057032309401884,9.877339456553258,9.091509115935633,2.3645148562274154,6.131587033362526,4.805418733000271,4.60178384516097,5.192280855815984
Cell24,5.084084180331776,1.0903625916463622,8.161993375579451,3.6011646196876823,0.18731936785991832,6.334987606341965,1.5878786995554417,3.5444881492806157,8.08481228428937,9.880484642451556
Cell25,1.8988281081849046,1.2251386808707077,9.330637391373532,7.8793390187403665,1.733134079278812,6.66400926317578,5.701130390606373,4.692656099205896,4.886176002337988,7.438934050963057
Cell26,8.21938288963186,5.571689980595335,2.3126671696537606,8.085301249953542,4.5849550071267675,3.494625170260938,6.274174900009265,2.071269946544149,5.889608249586217,5.038027068345223
Cell27,2.4461825663755263,2.3719917484614204,7.842325494547325,9.917422974581434,1.6721429108966168,6.728618136109809,7.4530523512321265,3.5515047459438986,5.407141251945772,2.221027431214113
Cell28,3.4255690890785075,0.048516996241640964,3.6160206913548665,0.5784533063122965,4.292741781803539,7.966922619119597,6.512826023376368,5.043584306114041,3.5566701363896436,1.6192200111407973
Cell29,6.868319770675085,9.068172578760198,5.447187786692737,3.6088380045805035,2.9416938075024412,9.613467997642985,7.466916550879223,6.517567092743119,9.016376655638307,9.26015024288284
Cell30,4.158884665718591,5.3776140051599235,6.034361003947286,4.829057644616657,7.512432886392354,2.4956290975812747,2.453226716128749,2.6874731389672766,9.67431261995384,8.788964169866937
Cell31,0.24623205245562607,4.098719321413245,8.695388895866476,4.7072045685861905,1.5160887777434129,7.643025592317852,2.6936273669315436,7.349744225333658,1.20309321011287,1.3468598232219642
Cell32,6.855793133404715,7.458028301438899,3.5096995303095566,9.88126651068651,9.726448755108875,4.934036841703594,3.0498764922718435,3.842274574231488,5.713359966492638,3.961688978677298
Cell33,1.4877028528829817,0.35049370400245916,8.652228688325357,7.938314600344155,1.9771992913395997,0.45012591199902086,2.0853783706181375,3.366719395617271,0.6245128251453569,0.26918664816266813
Cell34,0.2117929153753284,0.882663573825373,3.379997432965587,9.644705660162064,7.728264823448234,1.2967442835468401,1.4851701388606975,1.0042082219300774,8.93762625224491,9.258404166675229
Cell35,3.720616649440495,8.508284165810815,3.383165137833032,4.629468916079485,6.700290445848954,2.935962247541312,0.21143264128272943,8.68807707320013,3.6923791104334747,9.103641717763564
Cell36,4.927065621424748,7.047941623406424,3.7661332368019282,5.50328946323226,9.5845624127409,7.4316780865124565,2.7626196956256877,0.19020759503162843,7.7023874634959455,8.834655475943539
Cell37,9.481478849789738,2.806191572905302,4.381897571125122,7.099046479635564,9.998103668971856,4.055930225570865,2.7877521715957663,7.101277604430076,7.161239781961022,7.041534987996652
Cell38,8.277533210581776,1.5657624132939651,5.446923126365393,0.7400017098346412,7.920668636250045,2.7735050035247335,1.8356417619133536,8.780589741160044,1.778461190789824,2.6196764844665155
Cell39,9.072015449245413,8.25416951489797,1.8487999082883133,8.090123801013863,8.945148040736935,4.157540693293214,8.277614490839355,9.165479355992387,4.620207012481885,1.7627867074771375
Cell40,4.572076453628137,9.898116629410929,5.00574263118314,3.452787593023973,0.10494450120413612,3.336374287970366,6.131944921301139,7.893842072903109,1.6492387602372616,9.469679891744125
Cell41,2.4776565393567895,2.0040228093681844,0.38963937297368245,7.0163817465119145,5.889606519410874,9.085559485544824,4.700376616681529,8.992000430662593,0.30439525398534895,2.2228120571893584
Cell42,7.450019122009137,5.455878564314208,4.7784196839392195,4.517600366891395,8.314276465755578,0.19393642924066534,2.994505091984514,4.738402589086803,9.146748781403641,3.9436221104521385
Cell43,0.9031407136572978,8.096007492801341,2.9681925134182654,6.240704641603953,6.3530487122093415,4.815938669090514,3.159957826075818,6.192711274164907,8.180559160771018,9.439804701456895
Cell44,7.467510903933977,2.306373138357869,5.379122957333595,9.693499419338883,5.9683450735221,0.6616680884781367,6.695218403698747,9.141081095247912,1.1756540652283753,8.881996008896829
Cell45,0.3028992176401535,8.423803681369384,9.682011070409972,4.878574654385476,0.6457239498627487,2.0262982137666565,2.3526979415191196,3.556531697945007,4.052012419599185,7.186119776945461
Cell46,8.204508507069091,6.656234988058567,0.32381736887338364,0.6874232985591688,4.976181085342061,1.7077637420297587,0.1563807958541641,5.732473063591964,2.565374381394978,2.944358510963662
Cell47,5.818910861397578,8.949245909564459,6.233448033508264,8.789838505943962,2.3678518464803036,2.4449713826056785,0.1314723322538891,4.750765927163734,9.505318487018247,1.7126609507723556
Cell48,2.787230428679237,5.159211300881671,9.533190248785958,0.929251684953214,5.620144255019164,2.9934957401599647,7.562544775753875,8.847475151549963,0.96518363589432,9.354987782511209
Cell49,7.512713473399377,6.630481454934154,8.921809954006186,9.512628460968177,0.44061407075312475,1.4457643250553198,7.0542964918584055,0.1942990775618214,4.312933015614409,1.3981561029132006
Cell50,0.6310967513051269,7.659662383859934,6.927839464921874,0.056462670015450245,4.402182615211628,5.287566811830993,6.724980513937906,3.638696668966548,8.869603415504582,4.038438088831189
