,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10
Cell17,8.127148643620357,0.6895258159062656,3.844932242899104,5.2118885191198245,5.132078951525692,6.564021362902147,4.454819991389459,1.5895809763490776,1.1467980399072053,0.4230739580436449
Cell18,7.257102201360727,4.525848268020127,5.9520937918881796,5.1577668335220075,2.6257759452479092,0.8309757735515977,3.7078989263422732,8.575969605773084,7.459265578622409,9.532544307577119
Cell19,4.378114121900975,0.32115384032857297,8.50194887193744,2.255830389462752,5.490492037961054,1.6426759884383424,1.7851923740812015,5.834751064670708,6.065359866992333,9.810350737483253
Cell20,7.762930804404159,2.096648178619336,6.877105022812332,3.5131065040011933,4.090296302842592,1.202292679862198,2.922907271399927,7.401747331393111,2.5795564671314852,7.589441504603444
Cell21,9.469684830959531,2.8538226378820597,4.866616778880654,5.765429402123594,5.2337800635217535,9.165149087846329,9.222521816828406,8.812832254123537,9.616236310454102,6.1401125073300005
Cell22,2.2419301257642377,3.5050665880247323,4.218186095066719,9.74986692175707,2.359493630381894,0.52321228726536,8.667288152653871,7.937127966333321,8.751307616975229,5.230876637337143
Cell23,7.941542251530963,7.549896218602835,0.750498639949635,1.6533074902184286,4.237476611075771,6.506862056843641,5.739837477094016,5.041268129816982,2.584317925865399,9.34397535992433
Cell24,7.972597814385311,3.827932642047344,2.39548202250134,0.11368070431590938,2.1292583327503256,8.913714857488255,1.573032139526136,1.4517806671549816,9.516269395084935,2.991577954366634
Cell25,0.09394554705965952,2.3840235747965863,7.365979135296876,5.814244962836209,5.911662726586368,8.037501627770231,1.1478156886219015,4.4728557922371746,3.165960766035407,6.017903737444604
Cell26,9.778027873954125,1.5959893539455239,7.97129684435057,7.531383189183779,8.657600201293986,0.06294600773720571,2.631605186063901,5.955780554529647,8.02100123921225,2.786430903505581
Cell27,1.9693197341992241,3.722974478956065,6.3532224095173,2.7097026647042965,6.0429273217403,1.1830210990580636,8.381961018620213,2.496980314989549,1.3531559481155309,0.7064818843485743
Cell28,7.89528863610893,4.2145207009043775,9.992029924778995,6.102895654463464,2.0625259645759364,4.80846341755108,2.5146072305901077,7.277490995080289,6.414716096983549,1.232922402849963
Cell29,1.8472932832928768,0.42734366605296503,0.7420989371135733,5.240014226898887,6.061462312785441,5.11114963881643,8.189045136285458,7.207324368678616,9.82641851898065,1.2606291748216558
Cell30,1.6264632820859293,5.295733054083467,9.131479964901821,6.596885977435746,7.169057856704056,6.295318230466002,2.948195704483876,8.955372755102465,2.270500438639045,8.95578935951972
Cell31,8.384734978845316,7.683874593875,8.365452521079039,7.2646482659802905,8.671957328756804,5.403463681507756,6.179231989750253,3.364501878743579,8.893838071831828,4.136400574674198
Cell32,7.524842602829608,6.133913478140929,9.694355374220358,4.743561019661699,7.931352225627601,4.172939873518951,3.6969073876592007,1.8368234869911593,7.334708440700539,3.3112406394652893
Cell33,1.374865726533454,5.508561708364818,6.4173080485104785,6.44653639072584,2.908267436643195,4.595875776550697,8.523251855950289,1.5837709978779557,0.10156434802973235,1.2805835256461195
Cell34,0.7636073351504513,3.891671640533164,5.918456501724537,7.466514833369819,7.196066605549767,6.09726832866523,9.192911882302182,2.776370607961607,1.755040855667629,2.1129916196532794
Cell35,5.310290461773624,2.226265104607114,0.9520417143854776,5.76856519842841,3.95122307789919,7.364865528495095,7.953035230568007,9.27657960203548,1.651118073992477,5.487539459561095
Cell36,6.626579500436277,6.857738076298645,9.540594736210636,3.9180612320476635,9.047123166883157,1.6280777002709401,3.9472880666912746,8.5339659532495,1.3995041763494698,0.41513485805173
Cell37,1.1816617374909422,5.10287470750508,4.39686639129209,1.7836136909378186,3.5213389198168707,4.847263087054029,4.74858882080586,6.182204997562284,0.17722507167656332,8.46921798839865
Cell38,0.6806553234950008,3.2420398669197867,0.6529822226617088,0.7216470757710303,0.7675644046638319,5.840706320488951,5.345932262855445,0.29776234883763797,5.345694642329965,1.8348761373902178
Cell39,4.915695815370732,1.289153159692028,3.2351140161698186,7.308029616653153,7.427861388995395,2.402745264538886,8.841017642823259,6.878376709717276,0.2996246996830787,7.049694898077616
Cell40,6.078755986384433,2.535130008614055,8.085132698172194,8.418563650289183,8.021081567269729,3.7962890270007543,0.23203491188045655,4.162290921520162,1.5942487100914038,3.6353913821602113
Cell41,2.8460472498641796,1.5588509909617154,5.961366865919033,4.12201158979636,1.2868843028667032,6.556315132547167,4.393257321884843,8.790835532229785,0.7303170711764573,2.0428275970974275
Cell42,6.287334674183716,2.7523605344190107,3.611641021339065,9.848287597605903,6.1896930216793535,4.078267238500968,8.213802387223897,4.467589344333223,2.8008895887109886,8.603320837581283
Cell43,8.85220569085227,1.5012096444371503,7.185555353037185,2.5607535604338203,0.5567815732834946,7.503832186410991,5.366249347960117,3.505248754297435,2.4223556864617493,4.54730959052479
Cell44,1.768975373959989,0.9785918402794458,7.240891007056188,2.57810178718605,8.650116331553226,6.149458124854272,1.9775413692829646,7.418588334754616,4.629367393067071,3.1050353238676234
Cell45,8.928739683680885,7.739608667537742,8.167587406869332,3.137213884078828,0.6730015964024472,3.051589354340496,2.434559140225354,8.492473274872077,5.946224736338797,3.731964664245649
Cell46,8.291757553569855,7.578239463264321,1.5248886265847095,6.489508064659728,9.150337155610863,5.179158530133048,4.795603125383879,4.661673808342349,1.4942819385735095,9.238950170067833
Cell47,8.180876016347543,3.6817747385144326,9.73408669233889,7.455071240612976,5.641428229637841,0.3152093630667141,3.6956923499089953,3.2905035648010363,2.3862536619543926,1.016929078547103
Cell48,4.001578399283115,8.253497992833399,5.884019890086022,4.416495233801109,5.825424120495763,1.1034612530795962,6.818585537435905,9.465148840588116,9.505986179017986,8.031831642707255
Cell49,2.1087914244358075,5.866418192785149,2.318708302765101,0.42332872943267486,7.520600838884521,6.639169352279037,7.8086664735610665,2.0888168270676744,8.061242597229459,8.514825095038658
Cell50,3.851146835442689,2.14680176050424,8.958051705168922,8.86993030647904,5.941585987639834,7.530803734147665,9.711674207456312,5.362320626754417,3.586602788760993,9.303467767949844
